species,growth,region
ACR_Acropora_suharsonoi,corymbose,0
ACR_Acropora_sukarnoi,tables_or_plates,0
ACR_Acropora_tanegashimensis,tables_or_plates,0
ACR_Acropora_tenella,tables_or_plates,0
ACR_Acropora_tenuis,corymbose,0
ACR_Acropora_teres,branching_open,0
ACR_Acropora_tizardi,branching_closed,0
ACR_Acropora_torihalimeda,branching_closed,0
ACR_Acropora_torresiana,branching_closed,0
ACR_Acropora_tortuosa,branching_closed,0
ACR_Acropora_tumida,branching_closed,0
ACR_Acropora_turaki,hispidose,0
ACR_Acropora_tutuilensis,branching_open,0
ACR_Acropora_valenciennesi,branching_open,0
ACR_Acropora_valida,corymbose,0
ACR_Acropora_variabilis,branching_closed,0
ACR_Acropora_variolosa,branching_open,0
ACR_Acropora_vaughani,branching_closed,0
ACR_Acropora_vermiculata,corymbose,0
ACR_Acropora_verweyi,corymbose,0
ACR_Acropora_walindii,branching_open,0
ACR_Acropora_wallaceae,branching_closed,0
ACR_Acropora_willisae,corymbose,0
ACR_Acropora_yongei,branching_closed,0
ACR_Astreopora_expansa,outgroup,0
